participant,seed,sort,image,final_img_pos,posX,posY
subjCode140,140,Sort1,M07disg_o,[  72. -223.],72.0,-223.0
subjCode140,140,Sort1,M07hap_c,[ 215.  -74.],215.0,-74.0
subjCode140,140,Sort1,M07fear_o,[ 358.  -74.],358.0,-74.0
subjCode140,140,Sort1,M07sad_c,[ 215.  373.],215.0,373.0
subjCode140,140,Sort1,M07calm_c,[-214.   75.],-214.0,75.0
subjCode140,140,Sort1,M07surp_c,[-214. -372.],-214.0,-372.0
subjCode140,140,Sort1,M07ang_c,[-214. -223.],-214.0,-223.0
subjCode140,140,Sort1,M07surp_o,[ 358. -372.],358.0,-372.0
subjCode140,140,Sort1,M07exc_c,[ 72. -74.],72.0,-74.0
subjCode140,140,Sort1,M07exc_o,[-71.  75.],-71.0,75.0
subjCode140,140,Sort1,M07disg_c,[ -71. -223.],-71.0,-223.0
subjCode140,140,Sort1,M07fear_c,[ 358.  224.],358.0,224.0
subjCode140,140,Sort1,M07calm_o,[ 644. -372.],644.0,-372.0
subjCode140,140,Sort1,M07ang_o,[ 501.   75.],501.0,75.0
subjCode140,140,Sort1,M07neut_o,[-500.   75.],-500.0,75.0
subjCode140,140,Sort1,M07hap_o,[-357.  373.],-357.0,373.0
subjCode140,140,Sort1,M07neut_c,[-643. -372.],-643.0,-372.0
subjCode140,140,Sort1,M07sad_o,[-214.  373.],-214.0,373.0
