participant,seed,sort,image,final_img_pos,posX,posY
197,197,Sort2,M05exc_c,[ 644.  373.],644.0,373.0
197,197,Sort2,M12hap_o,[ 644.  224.],644.0,224.0
197,197,Sort2,M15surp_o,[ 501. -372.],501.0,-372.0
197,197,Sort2,F22sad_c,[ -71. -372.],-71.0,-372.0
197,197,Sort2,M03calm_c,[ -71. -223.],-71.0,-223.0
197,197,Sort2,M17sad_o,[-357. -372.],-357.0,-372.0
197,197,Sort2,M04disg_c,[-643. -372.],-643.0,-372.0
197,197,Sort2,F17calm_o,[ 644.   75.],644.0,75.0
197,197,Sort2,F10disg_o,[-643. -223.],-643.0,-223.0
197,197,Sort2,M02ang_c,[-71. -74.],-71.0,-74.0
197,197,Sort2,F13exc_o,[ 501. -223.],501.0,-223.0
197,197,Sort2,M08fear_o,[-214. -372.],-214.0,-372.0
197,197,Sort2,F01fear_c,[-71.  75.],-71.0,75.0
197,197,Sort2,F14surp_c,[ -71.  224.],-71.0,224.0
197,197,Sort2,F15hap_c,[ 644.  -74.],644.0,-74.0
197,197,Sort2,F04ang_o,[-643.  -74.],-643.0,-74.0
197,197,Sort2,F07neut_c,[ -71.  373.],-71.0,373.0
197,197,Sort2,M14neut_o,[  72. -372.],72.0,-372.0
