participant,seed,sort,image,final_img_pos,posX,posY
subjCode124,124,Sort2,M04disg_c,[ -71.  373.],-71.0,373.0
subjCode124,124,Sort2,M17sad_o,[ 644.  373.],644.0,373.0
subjCode124,124,Sort2,F17calm_o,[-643.  373.],-643.0,373.0
subjCode124,124,Sort2,M12hap_o,[-357.  373.],-357.0,373.0
subjCode124,124,Sort2,F10disg_o,[ 215.  373.],215.0,373.0
subjCode124,124,Sort2,M05exc_c,[ -71. -223.],-71.0,-223.0
subjCode124,124,Sort2,M15surp_o,[ 215. -223.],215.0,-223.0
subjCode124,124,Sort2,F22sad_c,[-357. -372.],-357.0,-372.0
subjCode124,124,Sort2,F01fear_c,[ 644. -372.],644.0,-372.0
subjCode124,124,Sort2,F15hap_c,[-500.  -74.],-500.0,-74.0
subjCode124,124,Sort2,F14surp_c,[ 358.  -74.],358.0,-74.0
subjCode124,124,Sort2,F04ang_o,[ 72.  75.],72.0,75.0
subjCode124,124,Sort2,F13exc_o,[-214.   75.],-214.0,75.0
subjCode124,124,Sort2,M08fear_o,[ 501.   75.],501.0,75.0
subjCode124,124,Sort2,M03calm_c,[-500.  224.],-500.0,224.0
subjCode124,124,Sort2,F07neut_c,[-643. -372.],-643.0,-372.0
subjCode124,124,Sort2,M14neut_o,[ 501. -223.],501.0,-223.0
subjCode124,124,Sort2,M02ang_c,[-643.   75.],-643.0,75.0
