participant,seed,sort,image,final_img_pos,posX,posY
s102,2,Sort2,M05exc_c,[  72.  373.],72,373
s102,2,Sort2,F01fear_c,[ -71. -372.],-71,-372
s102,2,Sort2,F13exc_o,[ 644. -223.],644,-223
s102,2,Sort2,M17sad_o,[  72. -372.],72,-372
s102,2,Sort2,F10disg_o,[-214. -372.],-214,-372
s102,2,Sort2,F07neut_c,[-357. -372.],-357,-372
s102,2,Sort2,M03calm_c,[-214. -223.],-214,-223
s102,2,Sort2,M04disg_c,[-71.  75.],-71,75
s102,2,Sort2,M08fear_o,[  72. -223.],72,-223
s102,2,Sort2,F17calm_o,[ -71. -223.],-71,-223
s102,2,Sort2,M15surp_o,[ 358.   75.],358,75
s102,2,Sort2,M12hap_o,[ 358.  -74.],358,-74
s102,2,Sort2,M14neut_o,[  72.  224.],72,224
s102,2,Sort2,F22sad_c,[ -71.  373.],-71,373
s102,2,Sort2,F14surp_c,[-643.  373.],-643,373
s102,2,Sort2,F04ang_o,[ 215.  224.],215,224
s102,2,Sort2,F15hap_c,[ 72.  75.],72,75
s102,2,Sort2,M02ang_c,[-214.   75.],-214,75
