participant,seed,sort,image,final_img_pos,posX,posY
subjCode306,306,Sort2,M03calm_c,[-71.  75.],-71.0,75.0
subjCode306,306,Sort2,M17sad_o,[ 215.   75.],215.0,75.0
subjCode306,306,Sort2,F14surp_c,[ 72. -74.],72.0,-74.0
subjCode306,306,Sort2,M05exc_c,[-71. -74.],-71.0,-74.0
subjCode306,306,Sort2,F17calm_o,[  72.  224.],72.0,224.0
subjCode306,306,Sort2,M08fear_o,[  72. -223.],72.0,-223.0
subjCode306,306,Sort2,F15hap_c,[ -71. -223.],-71.0,-223.0
subjCode306,306,Sort2,F10disg_o,[-357.   75.],-357.0,75.0
subjCode306,306,Sort2,F04ang_o,[ 358. -223.],358.0,-223.0
subjCode306,306,Sort2,F13exc_o,[-357. -223.],-357.0,-223.0
subjCode306,306,Sort2,M02ang_c,[ -71. -372.],-71.0,-372.0
subjCode306,306,Sort2,M04disg_c,[  72. -372.],72.0,-372.0
subjCode306,306,Sort2,M14neut_o,[ 215. -372.],215.0,-372.0
subjCode306,306,Sort2,F07neut_c,[-214.  -74.],-214.0,-74.0
subjCode306,306,Sort2,F22sad_c,[-214. -223.],-214.0,-223.0
subjCode306,306,Sort2,M15surp_o,[ 501.   75.],501.0,75.0
subjCode306,306,Sort2,M12hap_o,[ 501. -372.],501.0,-372.0
subjCode306,306,Sort2,F01fear_c,[ 215. -223.],215.0,-223.0
