participant,seed,sort,image,final_img_pos,posX,posY
300,300,Sort1,M07exc_c,[-643.  373.],-643.0,373.0
300,300,Sort1,M07disg_o,[-357.  224.],-357.0,224.0
300,300,Sort1,M07sad_o,[-71. -74.],-71.0,-74.0
300,300,Sort1,M07disg_c,[-214.  224.],-214.0,224.0
300,300,Sort1,M07calm_o,[-500.  373.],-500.0,373.0
300,300,Sort1,M07hap_c,[-643.  224.],-643.0,224.0
300,300,Sort1,M07neut_o,[ 72. -74.],72.0,-74.0
300,300,Sort1,M07fear_c,[ 358.   75.],358.0,75.0
300,300,Sort1,M07surp_o,[-643.   75.],-643.0,75.0
300,300,Sort1,M07hap_o,[-643.  -74.],-643.0,-74.0
300,300,Sort1,M07neut_c,[ 501.   75.],501.0,75.0
300,300,Sort1,M07ang_c,[ 215. -372.],215.0,-372.0
300,300,Sort1,M07exc_o,[ 215.  -74.],215.0,-74.0
300,300,Sort1,M07sad_c,[-357. -372.],-357.0,-372.0
300,300,Sort1,M07calm_c,[ 644.   75.],644.0,75.0
300,300,Sort1,M07ang_o,[ -71.  224.],-71.0,224.0
300,300,Sort1,M07surp_c,[ 501.  -74.],501.0,-74.0
300,300,Sort1,M07fear_o,[ 644.  373.],644.0,373.0
