participant,seed,sort,image,final_img_pos,posX,posY
subjCode307,307,Sort1,M07exc_c,[ 644.  373.],644.0,373.0
subjCode307,307,Sort1,M07exc_o,[-643.  373.],-643.0,373.0
subjCode307,307,Sort1,M07calm_o,[-643. -372.],-643.0,-372.0
subjCode307,307,Sort1,M07disg_o,[ 644. -372.],644.0,-372.0
subjCode307,307,Sort1,M07fear_o,[ 215.  -74.],215.0,-74.0
subjCode307,307,Sort1,M07hap_c,[-357.  373.],-357.0,373.0
subjCode307,307,Sort1,M07sad_o,[-500.  373.],-500.0,373.0
subjCode307,307,Sort1,M07neut_c,[-214.  373.],-214.0,373.0
subjCode307,307,Sort1,M07surp_o,[ -71.  373.],-71.0,373.0
subjCode307,307,Sort1,M07disg_c,[  72.  373.],72.0,373.0
subjCode307,307,Sort1,M07ang_c,[ 215.  373.],215.0,373.0
subjCode307,307,Sort1,M07hap_o,[ 358.  373.],358.0,373.0
subjCode307,307,Sort1,M07ang_o,[ 501.  373.],501.0,373.0
subjCode307,307,Sort1,M07calm_c,[-357. -372.],-357.0,-372.0
subjCode307,307,Sort1,M07neut_o,[-214. -372.],-214.0,-372.0
subjCode307,307,Sort1,M07fear_c,[ -71. -372.],-71.0,-372.0
subjCode307,307,Sort1,M07surp_c,[  72. -372.],72.0,-372.0
subjCode307,307,Sort1,M07sad_c,[ 215. -372.],215.0,-372.0
