participant,seed,sort,image,final_img_pos,posX,posY
subjCode149,149,Sort1,M07surp_o,[ 215.  224.],215.0,224.0
subjCode149,149,Sort1,M07surp_c,[-643.  373.],-643.0,373.0
subjCode149,149,Sort1,M07sad_o,[-357. -223.],-357.0,-223.0
subjCode149,149,Sort1,M07exc_c,[ 358.  224.],358.0,224.0
subjCode149,149,Sort1,M07ang_c,[  72. -372.],72.0,-372.0
subjCode149,149,Sort1,M07fear_o,[-214. -223.],-214.0,-223.0
subjCode149,149,Sort1,M07hap_c,[ 501.  224.],501.0,224.0
subjCode149,149,Sort1,M07calm_o,[ 644.  224.],644.0,224.0
subjCode149,149,Sort1,M07fear_c,[-500.  373.],-500.0,373.0
subjCode149,149,Sort1,M07disg_o,[ 215. -372.],215.0,-372.0
subjCode149,149,Sort1,M07exc_o,[ -71. -223.],-71.0,-223.0
subjCode149,149,Sort1,M07calm_c,[  72.  224.],72.0,224.0
subjCode149,149,Sort1,M07neut_o,[ 358. -372.],358.0,-372.0
subjCode149,149,Sort1,M07sad_c,[-357.   75.],-357.0,75.0
subjCode149,149,Sort1,M07ang_o,[ 501. -372.],501.0,-372.0
subjCode149,149,Sort1,M07disg_c,[-214.   75.],-214.0,75.0
subjCode149,149,Sort1,M07hap_o,[ -71.  224.],-71.0,224.0
subjCode149,149,Sort1,M07neut_c,[  72. -223.],72.0,-223.0
