participant,seed,sort,image,final_img_pos,posX,posY
subjCode103,3,Sort1,M07ang_c,[-214.  -74.],-214.0,-74.0
subjCode103,3,Sort1,M07neut_c,[-71. -74.],-71.0,-74.0
subjCode103,3,Sort1,M07sad_c,[ 72. -74.],72.0,-74.0
subjCode103,3,Sort1,M07fear_c,[ 215.  -74.],215.0,-74.0
subjCode103,3,Sort1,M07sad_o,[ 358.   75.],358.0,75.0
subjCode103,3,Sort1,M07hap_c,[ 644.  -74.],644.0,-74.0
subjCode103,3,Sort1,M07surp_o,[ 501.  -74.],501.0,-74.0
subjCode103,3,Sort1,M07neut_o,[-357.  -74.],-357.0,-74.0
subjCode103,3,Sort1,M07fear_o,[-643.   75.],-643.0,75.0
subjCode103,3,Sort1,M07disg_c,[-500.   75.],-500.0,75.0
subjCode103,3,Sort1,M07exc_o,[  72.  224.],72.0,224.0
subjCode103,3,Sort1,M07exc_c,[ -71.  373.],-71.0,373.0
subjCode103,3,Sort1,M07ang_o,[-357.  373.],-357.0,373.0
subjCode103,3,Sort1,M07disg_o,[ 358.  373.],358.0,373.0
subjCode103,3,Sort1,M07calm_c,[-214.  224.],-214.0,224.0
subjCode103,3,Sort1,M07surp_c,[-71.  75.],-71.0,75.0
subjCode103,3,Sort1,M07calm_o,[ 215.   75.],215.0,75.0
subjCode103,3,Sort1,M07hap_o,[ 215.  373.],215.0,373.0
