participant,seed,sort,image,final_img_pos,posX,posY
subjCode159,159,Sort1,M07calm_c,[-214.   75.],-214.0,75.0
subjCode159,159,Sort1,M07fear_o,[-71.  75.],-71.0,75.0
subjCode159,159,Sort1,M07calm_o,[-357.   75.],-357.0,75.0
subjCode159,159,Sort1,M07surp_c,[ 72.  75.],72.0,75.0
subjCode159,159,Sort1,M07hap_c,[-214.  373.],-214.0,373.0
subjCode159,159,Sort1,M07fear_c,[ 215.   75.],215.0,75.0
subjCode159,159,Sort1,M07disg_c,[ 501.  -74.],501.0,-74.0
subjCode159,159,Sort1,M07neut_c,[ 358.   75.],358.0,75.0
subjCode159,159,Sort1,M07ang_c,[ 358.  -74.],358.0,-74.0
subjCode159,159,Sort1,M07exc_o,[ -71.  224.],-71.0,224.0
subjCode159,159,Sort1,M07hap_o,[ -71.  373.],-71.0,373.0
subjCode159,159,Sort1,M07sad_o,[  72. -372.],72.0,-372.0
subjCode159,159,Sort1,M07ang_o,[ 215.  -74.],215.0,-74.0
subjCode159,159,Sort1,M07disg_o,[ 72. -74.],72.0,-74.0
subjCode159,159,Sort1,M07exc_c,[  72.  373.],72.0,373.0
subjCode159,159,Sort1,M07surp_o,[ 358.  373.],358.0,373.0
subjCode159,159,Sort1,M07sad_c,[ -71. -372.],-71.0,-372.0
subjCode159,159,Sort1,M07neut_o,[ 215.  373.],215.0,373.0
