participant,seed,sort,image,final_img_pos,posX,posY
s102,2,Sort1,M07hap_c,[-71. -74.],-71.0,-74.0
s102,2,Sort1,M07neut_o,[ 72. -74.],72.0,-74.0
s102,2,Sort1,M07fear_o,[ 215.  -74.],215.0,-74.0
s102,2,Sort1,M07sad_o,[ -71.  224.],-71.0,224.0
s102,2,Sort1,M07exc_c,[ 358.  -74.],358.0,-74.0
s102,2,Sort1,M07disg_c,[ 215.   75.],215.0,75.0
s102,2,Sort1,M07exc_o,[ 215.  224.],215.0,224.0
s102,2,Sort1,M07hap_o,[ 72.  75.],72.0,75.0
s102,2,Sort1,M07surp_c,[ 358.   75.],358.0,75.0
s102,2,Sort1,M07ang_c,[-214.  -74.],-214.0,-74.0
s102,2,Sort1,M07surp_o,[-71.  75.],-71.0,75.0
s102,2,Sort1,M07disg_o,[-214.   75.],-214.0,75.0
s102,2,Sort1,M07calm_o,[  72.  224.],72.0,224.0
s102,2,Sort1,M07sad_c,[ 501.  -74.],501.0,-74.0
s102,2,Sort1,M07neut_c,[-214. -372.],-214.0,-372.0
s102,2,Sort1,M07ang_o,[ 501. -223.],501.0,-223.0
s102,2,Sort1,M07calm_c,[ 358. -223.],358.0,-223.0
s102,2,Sort1,M07fear_c,[-214. -223.],-214.0,-223.0
