participant,seed,sort,image,final_img_pos,posX,posY
subjCode110,10,Sort2,M12hap_o,[ 644.  373.],644.0,373.0
subjCode110,10,Sort2,M04disg_c,[ 644. -372.],644.0,-372.0
subjCode110,10,Sort2,M17sad_o,[-643.  373.],-643.0,373.0
subjCode110,10,Sort2,M03calm_c,[-214.  -74.],-214.0,-74.0
subjCode110,10,Sort2,F04ang_o,[ 644. -223.],644.0,-223.0
subjCode110,10,Sort2,M05exc_c,[ 501.  373.],501.0,373.0
subjCode110,10,Sort2,F17calm_o,[ 644.  224.],644.0,224.0
subjCode110,10,Sort2,F10disg_o,[ 501. -372.],501.0,-372.0
subjCode110,10,Sort2,F07neut_c,[-357.  -74.],-357.0,-74.0
subjCode110,10,Sort2,M08fear_o,[ -71. -372.],-71.0,-372.0
subjCode110,10,Sort2,F14surp_c,[-71. -74.],-71.0,-74.0
subjCode110,10,Sort2,F15hap_c,[ 501.  224.],501.0,224.0
subjCode110,10,Sort2,M02ang_c,[ 501. -223.],501.0,-223.0
subjCode110,10,Sort2,F22sad_c,[-500.  -74.],-500.0,-74.0
subjCode110,10,Sort2,M15surp_o,[-214. -372.],-214.0,-372.0
subjCode110,10,Sort2,M14neut_o,[-357. -372.],-357.0,-372.0
subjCode110,10,Sort2,F01fear_c,[ 644.   75.],644.0,75.0
subjCode110,10,Sort2,F13exc_o,[ 501.   75.],501.0,75.0
