participant,seed,sort,image,final_img_pos,posX,posY
subjCode107,7,Sort1,M07hap_c,[  72. -372.],72.0,-372.0
subjCode107,7,Sort1,M07exc_o,[ 501. -372.],501.0,-372.0
subjCode107,7,Sort1,M07disg_o,[ 215.   75.],215.0,75.0
subjCode107,7,Sort1,M07ang_c,[-214. -223.],-214.0,-223.0
subjCode107,7,Sort1,M07exc_c,[ -71. -372.],-71.0,-372.0
subjCode107,7,Sort1,M07calm_c,[ 215. -372.],215.0,-372.0
subjCode107,7,Sort1,M07sad_o,[ 72.  75.],72.0,75.0
subjCode107,7,Sort1,M07calm_o,[ 644.  -74.],644.0,-74.0
subjCode107,7,Sort1,M07surp_o,[ 644.  373.],644.0,373.0
subjCode107,7,Sort1,M07sad_c,[-357. -223.],-357.0,-223.0
subjCode107,7,Sort1,M07fear_c,[ 358. -372.],358.0,-372.0
subjCode107,7,Sort1,M07ang_o,[ 358.   75.],358.0,75.0
subjCode107,7,Sort1,M07hap_o,[ 358.  -74.],358.0,-74.0
subjCode107,7,Sort1,M07neut_o,[-71.  75.],-71.0,75.0
subjCode107,7,Sort1,M07neut_c,[ -71. -223.],-71.0,-223.0
subjCode107,7,Sort1,M07fear_o,[ 501.  -74.],501.0,-74.0
subjCode107,7,Sort1,M07disg_c,[-71. -74.],-71.0,-74.0
subjCode107,7,Sort1,M07surp_c,[-214. -372.],-214.0,-372.0
