participant,seed,sort,image,final_img_pos,posX,posY
subjCode166,166,Sort1,M07hap_c,[ -71. -372.],-71.0,-372.0
subjCode166,166,Sort1,M07disg_c,[ 644. -372.],644.0,-372.0
subjCode166,166,Sort1,M07neut_o,[-71. -74.],-71.0,-74.0
subjCode166,166,Sort1,M07neut_c,[ 215.   75.],215.0,75.0
subjCode166,166,Sort1,M07exc_o,[ 215.  -74.],215.0,-74.0
subjCode166,166,Sort1,M07sad_o,[ 644.   75.],644.0,75.0
subjCode166,166,Sort1,M07calm_c,[ 215.  373.],215.0,373.0
subjCode166,166,Sort1,M07surp_c,[  72.  373.],72.0,373.0
subjCode166,166,Sort1,M07exc_c,[ -71.  373.],-71.0,373.0
subjCode166,166,Sort1,M07disg_o,[-214.   75.],-214.0,75.0
subjCode166,166,Sort1,M07fear_c,[ 501.  224.],501.0,224.0
subjCode166,166,Sort1,M07sad_c,[-214.  373.],-214.0,373.0
subjCode166,166,Sort1,M07calm_o,[-71.  75.],-71.0,75.0
subjCode166,166,Sort1,M07ang_o,[  72.  224.],72.0,224.0
subjCode166,166,Sort1,M07hap_o,[-214.  224.],-214.0,224.0
subjCode166,166,Sort1,M07ang_c,[ -71.  224.],-71.0,224.0
subjCode166,166,Sort1,M07fear_o,[ 358.  373.],358.0,373.0
subjCode166,166,Sort1,M07surp_o,[ 358.   75.],358.0,75.0
