participant,seed,sort,image,final_img_pos,posX,posY
187,187,Sort1,M07sad_o,[ 358.  224.],358.0,224.0
187,187,Sort1,M07fear_o,[ -71.  224.],-71.0,224.0
187,187,Sort1,M07sad_c,[ 644.  224.],644.0,224.0
187,187,Sort1,M07hap_o,[-500.  224.],-500.0,224.0
187,187,Sort1,M07surp_c,[-357.  -74.],-357.0,-74.0
187,187,Sort1,M07exc_c,[-500.   75.],-500.0,75.0
187,187,Sort1,M07surp_o,[-71. -74.],-71.0,-74.0
187,187,Sort1,M07neut_c,[-214.  224.],-214.0,224.0
187,187,Sort1,M07fear_c,[-500. -223.],-500.0,-223.0
187,187,Sort1,M07hap_c,[ 215.  -74.],215.0,-74.0
187,187,Sort1,M07exc_o,[ -71. -223.],-71.0,-223.0
187,187,Sort1,M07disg_c,[ 358.  373.],358.0,373.0
187,187,Sort1,M07neut_o,[-500. -372.],-500.0,-372.0
187,187,Sort1,M07ang_o,[-214.  -74.],-214.0,-74.0
187,187,Sort1,M07calm_c,[ 358.  -74.],358.0,-74.0
187,187,Sort1,M07calm_o,[  72. -223.],72.0,-223.0
187,187,Sort1,M07disg_o,[  72.  224.],72.0,224.0
187,187,Sort1,M07ang_c,[-214. -223.],-214.0,-223.0
