participant,seed,sort,image,final_img_pos,posX,posY
subjCode158,158,Sort1,M07hap_o,[-500.   75.],-500.0,75.0
subjCode158,158,Sort1,M07hap_c,[-71.  75.],-71.0,75.0
subjCode158,158,Sort1,M07calm_o,[-214. -223.],-214.0,-223.0
subjCode158,158,Sort1,M07disg_c,[ 644.   75.],644.0,75.0
subjCode158,158,Sort1,M07sad_o,[ 358. -223.],358.0,-223.0
subjCode158,158,Sort1,M07neut_o,[ 358.  373.],358.0,373.0
subjCode158,158,Sort1,M07sad_c,[-357.  224.],-357.0,224.0
subjCode158,158,Sort1,M07disg_o,[ 72. -74.],72.0,-74.0
subjCode158,158,Sort1,M07ang_o,[-500. -223.],-500.0,-223.0
subjCode158,158,Sort1,M07fear_c,[  72.  224.],72.0,224.0
subjCode158,158,Sort1,M07ang_c,[ 215.   75.],215.0,75.0
subjCode158,158,Sort1,M07surp_o,[ -71. -223.],-71.0,-223.0
subjCode158,158,Sort1,M07fear_o,[ 358.  -74.],358.0,-74.0
subjCode158,158,Sort1,M07surp_c,[ 644.  373.],644.0,373.0
subjCode158,158,Sort1,M07neut_c,[  72. -223.],72.0,-223.0
subjCode158,158,Sort1,M07exc_o,[ 501. -372.],501.0,-372.0
subjCode158,158,Sort1,M07calm_c,[-357. -372.],-357.0,-372.0
subjCode158,158,Sort1,M07exc_c,[-214.   75.],-214.0,75.0
