participant,seed,sort,image,final_img_pos,posX,posY
subjCode138,138,Sort1,M07surp_c,[ 215.  -74.],215.0,-74.0
subjCode138,138,Sort1,M07ang_o,[ 72. -74.],72.0,-74.0
subjCode138,138,Sort1,M07hap_c,[-71. -74.],-71.0,-74.0
subjCode138,138,Sort1,M07calm_o,[ 501.   75.],501.0,75.0
subjCode138,138,Sort1,M07disg_c,[  72.  373.],72.0,373.0
subjCode138,138,Sort1,M07fear_o,[  72. -223.],72.0,-223.0
subjCode138,138,Sort1,M07disg_o,[-214.  373.],-214.0,373.0
subjCode138,138,Sort1,M07calm_c,[ -71. -372.],-71.0,-372.0
subjCode138,138,Sort1,M07ang_c,[-214.   75.],-214.0,75.0
subjCode138,138,Sort1,M07sad_o,[-214.  -74.],-214.0,-74.0
subjCode138,138,Sort1,M07hap_o,[ 358.  373.],358.0,373.0
subjCode138,138,Sort1,M07neut_c,[ 215.  224.],215.0,224.0
subjCode138,138,Sort1,M07exc_o,[ 215.  373.],215.0,373.0
subjCode138,138,Sort1,M07exc_c,[ -71.  224.],-71.0,224.0
subjCode138,138,Sort1,M07fear_c,[-214. -223.],-214.0,-223.0
subjCode138,138,Sort1,M07sad_c,[ 215. -223.],215.0,-223.0
subjCode138,138,Sort1,M07neut_o,[ 358. -223.],358.0,-223.0
subjCode138,138,Sort1,M07surp_o,[ -71. -223.],-71.0,-223.0
