participant,seed,sort,image,final_img_pos,posX,posY
subjCode163,163,Sort1,M07disg_o,[-643.  373.],-643.0,373.0
subjCode163,163,Sort1,M07surp_c,[ 644.  373.],644.0,373.0
subjCode163,163,Sort1,M07fear_o,[  72.  373.],72.0,373.0
subjCode163,163,Sort1,M07disg_c,[-71. -74.],-71.0,-74.0
subjCode163,163,Sort1,M07sad_c,[-357.  -74.],-357.0,-74.0
subjCode163,163,Sort1,M07ang_c,[-643.   75.],-643.0,75.0
subjCode163,163,Sort1,M07exc_o,[-643. -372.],-643.0,-372.0
subjCode163,163,Sort1,M07ang_o,[ 644. -372.],644.0,-372.0
subjCode163,163,Sort1,M07hap_c,[ -71. -372.],-71.0,-372.0
subjCode163,163,Sort1,M07neut_c,[ 215. -372.],215.0,-372.0
subjCode163,163,Sort1,M07sad_o,[  72.  224.],72.0,224.0
subjCode163,163,Sort1,M07hap_o,[ 358.  224.],358.0,224.0
subjCode163,163,Sort1,M07surp_o,[-357.  224.],-357.0,224.0
subjCode163,163,Sort1,M07exc_c,[ 358.   75.],358.0,75.0
subjCode163,163,Sort1,M07calm_c,[ 358. -372.],358.0,-372.0
subjCode163,163,Sort1,M07fear_c,[ 215.  -74.],215.0,-74.0
subjCode163,163,Sort1,M07neut_o,[-357.   75.],-357.0,75.0
subjCode163,163,Sort1,M07calm_o,[ 644.   75.],644.0,75.0
