participant,seed,sort,image,final_img_pos,posX,posY
194,194,Sort1,M07neut_o,[ 358.  224.],358.0,224.0
194,194,Sort1,M07ang_c,[-500. -223.],-500.0,-223.0
194,194,Sort1,M07calm_c,[ 215.  224.],215.0,224.0
194,194,Sort1,M07ang_o,[-357. -223.],-357.0,-223.0
194,194,Sort1,M07exc_c,[  72.  224.],72.0,224.0
194,194,Sort1,M07sad_o,[ 501.  224.],501.0,224.0
194,194,Sort1,M07hap_o,[ -71.  224.],-71.0,224.0
194,194,Sort1,M07hap_c,[ 72.  75.],72.0,75.0
194,194,Sort1,M07sad_c,[-500.  224.],-500.0,224.0
194,194,Sort1,M07fear_c,[  72. -223.],72.0,-223.0
194,194,Sort1,M07calm_o,[-214.  224.],-214.0,224.0
194,194,Sort1,M07disg_o,[ 644.  -74.],644.0,-74.0
194,194,Sort1,M07fear_o,[ 215. -223.],215.0,-223.0
194,194,Sort1,M07surp_o,[-71.  75.],-71.0,75.0
194,194,Sort1,M07surp_c,[ -71. -223.],-71.0,-223.0
194,194,Sort1,M07disg_c,[-643. -223.],-643.0,-223.0
194,194,Sort1,M07neut_c,[ 358.   75.],358.0,75.0
194,194,Sort1,M07exc_o,[-214.   75.],-214.0,75.0
