participant,seed,sort,image,final_img_pos,posX,posY
subjCode139,139,Practice,car,[ 358.  -74.],358.0,-74.0
subjCode139,139,Practice,squirrel,[-643.  -74.],-643.0,-74.0
subjCode139,139,Practice,table,[ -71.  373.],-71.0,373.0
subjCode139,139,Practice,bird,[ 501. -372.],501.0,-372.0
subjCode139,139,Practice,bus,[ 358.  224.],358.0,224.0
