participant,seed,sort,image,final_img_pos,posX,posY
subjCode123,23,Sort1,M07sad_o,[ 72. -74.],72.0,-74.0
subjCode123,23,Sort1,M07sad_c,[-357.  224.],-357.0,224.0
subjCode123,23,Sort1,M07neut_o,[-643. -372.],-643.0,-372.0
subjCode123,23,Sort1,M07disg_c,[ 644.   75.],644.0,75.0
subjCode123,23,Sort1,M07exc_c,[ 644. -223.],644.0,-223.0
subjCode123,23,Sort1,M07ang_o,[ 501.   75.],501.0,75.0
subjCode123,23,Sort1,M07surp_o,[ 501. -223.],501.0,-223.0
subjCode123,23,Sort1,M07calm_o,[ 644.  373.],644.0,373.0
subjCode123,23,Sort1,M07hap_o,[ 358. -223.],358.0,-223.0
subjCode123,23,Sort1,M07fear_o,[-214.  224.],-214.0,224.0
subjCode123,23,Sort1,M07hap_c,[ 215. -223.],215.0,-223.0
subjCode123,23,Sort1,M07ang_c,[ 358.   75.],358.0,75.0
subjCode123,23,Sort1,M07surp_c,[-500. -372.],-500.0,-372.0
subjCode123,23,Sort1,M07disg_o,[ 215.   75.],215.0,75.0
subjCode123,23,Sort1,M07neut_c,[-357. -372.],-357.0,-372.0
subjCode123,23,Sort1,M07exc_o,[-214. -372.],-214.0,-372.0
subjCode123,23,Sort1,M07fear_c,[-500.  224.],-500.0,224.0
subjCode123,23,Sort1,M07calm_c,[  72. -223.],72.0,-223.0
