participant,seed,sort,image,final_img_pos,posX,posY
302,302,Sort1,M07sad_o,[ 644.   75.],644.0,75.0
302,302,Sort1,M07neut_c,[-643.  224.],-643.0,224.0
302,302,Sort1,M07fear_o,[ 501.   75.],501.0,75.0
302,302,Sort1,M07sad_c,[-643. -372.],-643.0,-372.0
302,302,Sort1,M07ang_c,[ 215. -372.],215.0,-372.0
302,302,Sort1,M07hap_c,[ -71.  373.],-71.0,373.0
302,302,Sort1,M07exc_c,[  72.  373.],72.0,373.0
302,302,Sort1,M07calm_c,[-500.  224.],-500.0,224.0
302,302,Sort1,M07surp_o,[ 215.  373.],215.0,373.0
302,302,Sort1,M07exc_o,[ 358.   75.],358.0,75.0
302,302,Sort1,M07surp_c,[ 501.  373.],501.0,373.0
302,302,Sort1,M07hap_o,[ 358.  373.],358.0,373.0
302,302,Sort1,M07ang_o,[  72. -372.],72.0,-372.0
302,302,Sort1,M07disg_c,[ -71. -372.],-71.0,-372.0
302,302,Sort1,M07neut_o,[ 215.   75.],215.0,75.0
302,302,Sort1,M07disg_o,[-357.  224.],-357.0,224.0
302,302,Sort1,M07calm_o,[ 644.  373.],644.0,373.0
302,302,Sort1,M07fear_c,[ 72.  75.],72.0,75.0
