participant,seed,sort,image,final_img_pos,posX,posY
subjCode106,6,Sort1,M07neut_c,[ 215.  -74.],215.0,-74.0
subjCode106,6,Sort1,M07calm_c,[ 72. -74.],72.0,-74.0
subjCode106,6,Sort1,M07calm_o,[-71. -74.],-71.0,-74.0
subjCode106,6,Sort1,M07fear_o,[-357.   75.],-357.0,75.0
subjCode106,6,Sort1,M07hap_c,[ 358.  -74.],358.0,-74.0
subjCode106,6,Sort1,M07hap_o,[-214.  -74.],-214.0,-74.0
subjCode106,6,Sort1,M07sad_c,[  72.  224.],72.0,224.0
subjCode106,6,Sort1,M07disg_c,[-214.  373.],-214.0,373.0
subjCode106,6,Sort1,M07ang_c,[ 358.  224.],358.0,224.0
subjCode106,6,Sort1,M07fear_c,[ 501.  -74.],501.0,-74.0
subjCode106,6,Sort1,M07exc_c,[-357.  373.],-357.0,373.0
subjCode106,6,Sort1,M07surp_c,[ 644.  -74.],644.0,-74.0
subjCode106,6,Sort1,M07disg_o,[-500.  224.],-500.0,224.0
subjCode106,6,Sort1,M07ang_o,[ 358.   75.],358.0,75.0
subjCode106,6,Sort1,M07surp_o,[-500.  -74.],-500.0,-74.0
subjCode106,6,Sort1,M07neut_o,[ 215.  373.],215.0,373.0
subjCode106,6,Sort1,M07sad_o,[-214.   75.],-214.0,75.0
subjCode106,6,Sort1,M07exc_o,[ 215.   75.],215.0,75.0
