"participant","seed","sort","image","final_img_pos","posX","posY"
"203",3,"Sort1","M07ang_o","[ 644.   75.]",644,75
"203",3,"Sort1","M07disg_o","[ 358.   75.]",358,75
"203",3,"Sort1","M07calm_c","[-357.   75.]",-357,75
"203",3,"Sort1","M07surp_c","[-214.   75.]",-214,75
"203",3,"Sort1","M07calm_o","[-214.  -74.]",-214,-74
"203",3,"Sort1","M07hap_o","[-357.  -74.]",-357,-74
"203",3,"Sort2","F17calm_o","[ 358.  224.]",358,224
"203",3,"Sort2","F14surp_c","[-214.  224.]",-214,224
"203",3,"Sort2","F22sad_c","[ -71. -223.]",-71,-223
"203",3,"Sort2","M02ang_c","[  72. -223.]",72,-223
"203",3,"Sort2","M17sad_o","[-357.  224.]",-357,224
"203",3,"Sort2","M05exc_c","[ 358.   75.]",358,75
"203",3,"Sort2","M15surp_o","[ -71.  224.]",-71,224
"203",3,"Sort2","F01fear_c","[-71.  75.]",-71,75
"203",3,"Sort2","F13exc_o","[ 358.  -74.]",358,-74
"203",3,"Sort2","F07neut_c","[-214. -223.]",-214,-223
"203",3,"Sort2","M03calm_c","[-357. -223.]",-357,-223
"203",3,"Sort2","F10disg_o","[-214.   75.]",-214,75
"203",3,"Sort2","F04ang_o","[-357.   75.]",-357,75
"203",3,"Sort2","M12hap_o","[ 501.  -74.]",501,-74
"203",3,"Sort2","F15hap_c","[ 215.   75.]",215,75
"203",3,"Sort2","M08fear_o","[-71. -74.]",-71,-74
"203",3,"Sort2","M14neut_o","[-214.  -74.]",-214,-74
"203",3,"Sort2","M04disg_c","[-357.  -74.]",-357,-74
"204",4,"Practice","bird","[-357.  224.]",-357,224
"204",4,"Practice","squirrel","[-357. -223.]",-357,-223
"204",4,"Practice","car","[ 501.  224.]",501,224
"204",4,"Practice","bus","[ 358.   75.]",358,75
"204",4,"Practice","table","[ 358. -372.]",358,-372
"204",4,"Sort1","M07surp_o","[-500. -223.]",-500,-223
"204",4,"Sort1","M07exc_c","[-500.  -74.]",-500,-74
"204",4,"Sort1","M07exc_o","[ 501. -223.]",501,-223
"204",4,"Sort1","M07calm_o","[ -71. -223.]",-71,-223
"204",4,"Sort1","M07sad_o","[ 215.  373.]",215,373
"204",4,"Sort1","M07hap_c","[-357.  -74.]",-357,-74
