"image","pos","neg","ESG_type","arousal","valence","val_type"
"F01fear_c",1,1.52941176470588,"indifferent",3.66666666666667,3.50980392156863,"indifferent"
"F04ang_o",0.313725490196078,3.23529411764706,"pol_neg",4.70588235294118,1.58823529411765,"pol_neg"
"F07neut_c",1.23529411764706,1.23529411764706,"indifferent",2.72549019607843,3.94117647058824,"indifferent"
"F10disg_o",0.450980392156863,3.07843137254902,"pol_neg",4.66666666666667,1.58823529411765,"pol_neg"
"F13exc_o",2.94117647058824,0.470588235294118,"pol_pos",6.05882352941176,6.47058823529412,"pol_pos"
"F14surp_c",0.647058823529412,1.72549019607843,"indifferent",4.58823529411765,3.35294117647059,"indifferent"
"F15hap_c",2.37254901960784,0.372549019607843,"pol_pos",4.76470588235294,5.52941176470588,"pol_pos"
"F17calm_o",2,0.411764705882353,"pol_pos",4.29411764705882,5.29411764705882,"pol_pos"
"F22sad_c",0.490196078431373,1.76470588235294,"indifferent",3.58823529411765,2.82352941176471,"pol_neg"
"M02ang_c",0.490196078431373,2.25490196078431,"pol_neg",3.7843137254902,2.58823529411765,"pol_neg"
"M03calm_c",1.49019607843137,0.980392156862745,"indifferent",3.01960784313725,4.54901960784314,"indifferent"
"M04disg_c",0.333333333333333,2.94117647058824,"pol_neg",4.35294117647059,1.7843137254902,"pol_neg"
"M05exc_c",2.88235294117647,0.450980392156863,"pol_pos",5.19607843137255,5.98039215686275,"pol_pos"
"M08fear_o",0.686274509803922,1.86274509803922,"indifferent",4.33333333333333,2.98039215686275,"pol_neg"
"M12hap_o",2.29411764705882,0.607843137254902,"pol_pos",4.62745098039216,5.45098039215686,"pol_pos"
"M14neut_o",0.823529411764706,1.54901960784314,"indifferent",3.01960784313725,3.52941176470588,"indifferent"
"M15surp_o",1.19607843137255,1.56862745098039,"indifferent",4.90196078431373,3.23529411764706,"indifferent"
"M17sad_o",0.411764705882353,2.11764705882353,"pol_neg",3.68627450980392,2.72549019607843,"pol_neg"
