"Subj","Word_Category","Order","Word","Exclude","word_fix","temp_combo","duplicate"
107,"Emotion",1,"mad",0,"mad","107 mad",0
107,"Emotion",2,"happy",0,"happy","107 happy",0
107,"Emotion",3,"angry",0,"angry","107 angry",0
107,"Emotion",5,"jealous",0,"jealous","107 jealous",0
107,"Emotion",6,"excited",0,"excited","107 excited",0
108,"Animal",1,"elephant",0,"elephant","108 elephant",0
108,"Animal",2,"giraffe",0,"giraffe","108 giraffe",0
108,"Animal",3,"crocodile",0,"crocodile","108 crocodile",0
108,"Animal",4,"lizard",0,"lizard","108 lizard",0
108,"Animal",5,"alligator",0,"alligator","108 alligator",0
108,"Animal",6,"ant",0,"ant","108 ant",0
108,"Animal",7,"fish",0,"fish","108 fish",0
108,"Animal",8,"spider",0,"spider","108 spider",0
108,"Animal",9,"beetle",0,"beetle","108 beetle",0
108,"Emotion",1,"angry",0,"angry","108 angry",0
108,"Emotion",2,"sad",0,"sad","108 sad",0
108,"Emotion",3,"happy",0,"happy","108 happy",0
109,"Animal",1,"zebra",0,"zebra","109 zebra",0
109,"Animal",2,"giraffe",0,"giraffe","109 giraffe",0
109,"Animal",3,"rhino",0,"rhino","109 rhino",0
109,"Animal",4,"hippo",0,"hippo","109 hippo",0
109,"Animal",5,"lion",0,"lion","109 lion",0
109,"Animal",6,"penguin",0,"penguin","109 penguin",0
109,"Animal",7,"waterbuffalo",0,"waterbuffalo","109 waterbuffalo",0
109,"Animal",8,"kangaroo",0,"kangaroo","109 kangaroo",0
109,"Emotion",1,"silly",0,"silly","109 silly",0
109,"Emotion",2,"mad",0,"mad","109 mad",0
109,"Emotion",3,"scared",0,"scared","109 scared",0
109,"Emotion",4,"happy",0,"happy","109 happy",0
109,"Emotion",5,"angry",0,"angry","109 angry",0
109,"Emotion",6,"sad",0,"sad","109 sad",0
109,"Emotion",7,"feelinglikeyouwanttothrowup",0,"feelinglikeyouwanttothrowup","109 feelinglikeyouwanttothrowup",0
110,"Animal",1,"pig",0,"pig","110 pig",0
110,"Animal",2,"koala",0,"koala","110 koala",0
110,"Animal",3,"zebra",0,"zebra","110 zebra",0
110,"Animal",4,"giraffe",0,"giraffe","110 giraffe",0
110,"Animal",5,"crocodile",0,"crocodile","110 crocodile",0
110,"Animal",6,"bear",0,"bear","110 bear",0
