"participant","seed","sort","image","final_img_pos","posX","posY"
"144",144,"Sort1","M07neut_c","[-500. -223.]",-500,-223
"144",144,"Sort1","M07sad_c","[  72.  373.]",72,373
"144",144,"Sort1","M07fear_o","[-214.  -74.]",-214,-74
"144",144,"Sort1","M07hap_c","[ 358.  224.]",358,224
"144",144,"Sort1","M07neut_o","[-500. -372.]",-500,-372
"144",144,"Sort1","M07disg_o","[ 358. -223.]",358,-223
"144",144,"Sort2","M03calm_c","[-643.  -74.]",-643,-74
"144",144,"Sort2","F04ang_o","[ 644. -372.]",644,-372
"144",144,"Sort2","F07neut_c","[-357.  -74.]",-357,-74
"144",144,"Sort2","M02ang_c","[ 358. -372.]",358,-372
"144",144,"Sort2","M14neut_o","[ 644.  224.]",644,224
"144",144,"Sort2","M08fear_o","[ 358.  224.]",358,224
"144",144,"Sort2","F15hap_c","[-71. -74.]",-71,-74
"144",144,"Sort2","M15surp_o","[ 215.  -74.]",215,-74
"144",144,"Sort2","F10disg_o","[  72. -372.]",72,-372
"144",144,"Sort2","M17sad_o","[-214.  373.]",-214,373
"144",144,"Sort2","F17calm_o","[ 501.  -74.]",501,-74
"144",144,"Sort2","M04disg_c","[-214. -372.]",-214,-372
"144",144,"Sort2","F14surp_c","[  72.  224.]",72,224
"144",144,"Sort2","F22sad_c","[ -71.  224.]",-71,224
"144",144,"Sort2","F13exc_o","[ 358.  -74.]",358,-74
"144",144,"Sort2","M05exc_c","[ 72. -74.]",72,-74
"144",144,"Sort2","F01fear_c","[-214.  -74.]",-214,-74
"144",144,"Sort2","M12hap_o","[-500.  -74.]",-500,-74
"180",180,"Practice","squirrel","[ 72.  75.]",72,75
"180",180,"Practice","car","[ 501.  224.]",501,224
"180",180,"Practice","table","[-357.  373.]",-357,373
"180",180,"Practice","bird","[-71.  75.]",-71,75
"180",180,"Practice","bus","[ 358.  224.]",358,224
"180",180,"Sort1","M07hap_c","[ 215.  224.]",215,224
"180",180,"Sort1","M07sad_o","[-71.  75.]",-71,75
"180",180,"Sort1","M07exc_c","[  72.  224.]",72,224
"180",180,"Sort1","M07hap_o","[ 358.  224.]",358,224
"180",180,"Sort1","M07surp_c","[-214.  373.]",-214,373
"180",180,"Sort1","M07fear_c","[ 72.  75.]",72,75
"180",180,"Sort1","M07disg_o","[-357. -223.]",-357,-223
"180",180,"Sort1","M07calm_c","[ -71.  224.]",-71,224
"180",180,"Sort1","M07fear_o","[ 215.   75.]",215,75
"180",180,"Sort1","M07ang_c","[ -71. -223.]",-71,-223
"180",180,"Sort1","M07exc_o","[ 501.  224.]",501,224
"180",180,"Sort1","M07ang_o","[-214. -223.]",-214,-223
"180",180,"Sort1","M07surp_o","[ 644.  224.]",644,224
"180",180,"Sort1","M07neut_o","[ -71.  373.]",-71,373
"180",180,"Sort1","M07neut_c","[ 358.   75.]",358,75
"180",180,"Sort1","M07calm_o","[-214.  224.]",-214,224
"180",180,"Sort1","M07sad_c","[ 501.   75.]",501,75
"180",180,"Sort1","M07disg_c","[  72. -223.]",72,-223
"180",180,"Sort2","M05exc_c","[ 72.  75.]",72,75
"180",180,"Sort2","M17sad_o","[-357. -223.]",-357,-223
"180",180,"Sort2","F10disg_o","[-643.  373.]",-643,373
"180",180,"Sort2","M04disg_c","[-500.  373.]",-500,373
"180",180,"Sort2","M08fear_o","[-214. -223.]",-214,-223
"180",180,"Sort2","M02ang_c","[ -71. -223.]",-71,-223
"180",180,"Sort2","M12hap_o","[ 215.   75.]",215,75
"180",180,"Sort2","F15hap_c","[ 358.   75.]",358,75
"180",180,"Sort2","F13exc_o","[ 501.   75.]",501,75
"180",180,"Sort2","F17calm_o","[ 644.   75.]",644,75
"180",180,"Sort2","M03calm_c","[-71.  75.]",-71,75
"180",180,"Sort2","F04ang_o","[-357.  373.]",-357,373
"180",180,"Sort2","M15surp_o","[ 358. -372.]",358,-372
"180",180,"Sort2","F01fear_c","[-214.   75.]",-214,75
"180",180,"Sort2","F14surp_c","[ 501. -372.]",501,-372
"180",180,"Sort2","M14neut_o","[  72. -223.]",72,-223
"180",180,"Sort2","F22sad_c","[ 215. -223.]",215,-223
"180",180,"Sort2","F07neut_c","[-357.   75.]",-357,75
"181",181,"Practice","car","[ 644.  373.]",644,373
"181",181,"Practice","squirrel","[-643.  373.]",-643,373
"181",181,"Practice","table","[-214. -372.]",-214,-372
"181",181,"Practice","bus","[ 644.  224.]",644,224
"181",181,"Practice","bird","[  72.  373.]",72,373
"181",181,"Sort1","M07disg_o","[ 644.  373.]",644,373
"181",181,"Sort1","M07fear_c","[-643.  373.]",-643,373
"181",181,"Sort1","M07ang_c","[-214.   75.]",-214,75
"181",181,"Sort1","M07calm_o","[ 501.   75.]",501,75
"181",181,"Sort1","M07sad_c","[-214.  -74.]",-214,-74
"181",181,"Sort1","M07exc_o","[ -71.  373.]",-71,373
"181",181,"Sort1","M07ang_o","[ 644.  224.]",644,224
"181",181,"Sort1","M07calm_c","[ -71.  224.]",-71,224
"181",181,"Sort1","M07sad_o","[ 644.   75.]",644,75
"181",181,"Sort1","M07neut_o","[-643.  224.]",-643,224
"181",181,"Sort1","M07exc_c","[-214. -223.]",-214,-223
"181",181,"Sort1","M07surp_o","[ 358.  373.]",358,373
"181",181,"Sort1","M07hap_o","[ 215. -372.]",215,-372
"181",181,"Sort1","M07disg_c","[-214. -372.]",-214,-372
"181",181,"Sort1","M07hap_c","[-71. -74.]",-71,-74
"181",181,"Sort1","M07surp_c","[ -71. -372.]",-71,-372
"181",181,"Sort1","M07neut_c","[ 501. -223.]",501,-223
"181",181,"Sort1","M07fear_o","[ 358. -372.]",358,-372
