"participant","seed","sort","image","final_img_pos","posX","posY","subject","subjCode","Age","Gender","age_bin","age_group","image_cat","image_tax_cat"
"143",1,"Sort1","M07neut_c","[ 501.   75.]",501,75,"p143",143,6.833333333,"F","6 to 7","kids","neut","neut"
"143",1,"Sort1","M07fear_o","[ -71.  373.]",-71,373,"p143",143,6.833333333,"F","6 to 7","kids","fear","fear"
"143",1,"Sort1","M07hap_o","[-71. -74.]",-71,-74,"p143",143,6.833333333,"F","6 to 7","kids","hap","hap"
"143",1,"Sort1","M07calm_c","[-500.  -74.]",-500,-74,"p143",143,6.833333333,"F","6 to 7","kids","calm","calm"
"143",1,"Sort1","M07sad_o","[-500.  224.]",-500,224,"p143",143,6.833333333,"F","6 to 7","kids","sad","sad"
"143",1,"Sort1","M07calm_o","[ 215.  224.]",215,224,"p143",143,6.833333333,"F","6 to 7","kids","calm","calm"
"143",1,"Sort1","M07ang_o","[ 215. -372.]",215,-372,"p143",143,6.833333333,"F","6 to 7","kids","ang","ang"
"143",1,"Sort1","M07disg_o","[-214. -372.]",-214,-372,"p143",143,6.833333333,"F","6 to 7","kids","disg","disg"
"143",1,"Sort1","M07neut_o","[ 358.  -74.]",358,-74,"p143",143,6.833333333,"F","6 to 7","kids","neut","neut"
"143",1,"Sort1","M07surp_c","[-500. -372.]",-500,-372,"p143",143,6.833333333,"F","6 to 7","kids","surp","surp"
"143",1,"Sort1","M07ang_c","[  72. -372.]",72,-372,"p143",143,6.833333333,"F","6 to 7","kids","ang","ang"
"143",1,"Sort1","M07surp_o","[-214.  -74.]",-214,-74,"p143",143,6.833333333,"F","6 to 7","kids","surp","surp"
"143",1,"Sort1","M07exc_c","[ 501. -372.]",501,-372,"p143",143,6.833333333,"F","6 to 7","kids","exc","exc"
"143",1,"Sort1","M07exc_o","[  72.  373.]",72,373,"p143",143,6.833333333,"F","6 to 7","kids","exc","exc"
"143",1,"Sort1","M07disg_c","[  72. -223.]",72,-223,"p143",143,6.833333333,"F","6 to 7","kids","disg","disg"
"143",1,"Sort2","F22sad_c","[ 72.  75.]",72,75,"p143",143,6.833333333,"F","6 to 7","kids","sad","sad"
"143",1,"Sort2","M05exc_c","[ 501.   75.]",501,75,"p143",143,6.833333333,"F","6 to 7","kids","exc","exc"
"143",1,"Sort2","M02ang_c","[-214.   75.]",-214,75,"p143",143,6.833333333,"F","6 to 7","kids","ang","ang"
"143",1,"Sort2","F14surp_c","[ 215. -223.]",215,-223,"p143",143,6.833333333,"F","6 to 7","kids","surp","surp"
"143",1,"Sort2","F13exc_o","[ 72. -74.]",72,-74,"p143",143,6.833333333,"F","6 to 7","kids","exc","exc"
"143",1,"Sort2","M04disg_c","[-500.   75.]",-500,75,"p143",143,6.833333333,"F","6 to 7","kids","disg","disg"
"143",1,"Sort2","F15hap_c","[ 358.   75.]",358,75,"p143",143,6.833333333,"F","6 to 7","kids","hap","hap"
"143",1,"Sort2","M17sad_o","[-214.  -74.]",-214,-74,"p143",143,6.833333333,"F","6 to 7","kids","sad","sad"
"143",1,"Sort2","M14neut_o","[ 644.  373.]",644,373,"p143",143,6.833333333,"F","6 to 7","kids","neut","neut"
"143",1,"Sort2","F04ang_o","[ 644.  -74.]",644,-74,"p143",143,6.833333333,"F","6 to 7","kids","ang","ang"
