"sample_index","age_bin","age_group","sort","sort_name","N","average_dist","ci_dist"
7,"5 to 6","kids","Sort1","Same Individual",28,0.0608881148500605,0.0474584005160747
7,"5 to 6","kids","Sort2","Different Individuals",28,0.0407588501311388,0.0441618724881981
7,"6 to 7","kids","Sort1","Same Individual",23,0.0840068430926496,0.0513462759986247
7,"6 to 7","kids","Sort2","Different Individuals",23,0.127644248809836,0.0457560878533124
7,"adults","adults","Sort1","Same Individual",40,0.18285253219156,0.032429681590365
7,"adults","adults","Sort2","Different Individuals",40,0.195469429525753,0.0312208851973499
8,"3 to 4","kids","Sort1","Same Individual",21,0.00603893609557855,0.04686718763837
8,"3 to 4","kids","Sort2","Different Individuals",21,-0.000161974212353935,0.034010813845479
8,"4 to 5","kids","Sort1","Same Individual",34,0.016309075855241,0.0414991071115126
8,"4 to 5","kids","Sort2","Different Individuals",33,0.0113281987906144,0.0341997055651214
8,"5 to 6","kids","Sort1","Same Individual",28,0.0667697068853007,0.0529240303227448
8,"5 to 6","kids","Sort2","Different Individuals",28,0.0575485309484958,0.0379961118120056
8,"6 to 7","kids","Sort1","Same Individual",23,0.118908454400154,0.0379571146850827
8,"6 to 7","kids","Sort2","Different Individuals",23,0.115463087699064,0.0512279619271267
8,"adults","adults","Sort1","Same Individual",40,0.197360483819947,0.0315260450801265
8,"adults","adults","Sort2","Different Individuals",40,0.211208791896837,0.0318354185336643
9,"3 to 4","kids","Sort1","Same Individual",21,0.011690882439068,0.0338256188427363
9,"3 to 4","kids","Sort2","Different Individuals",21,0.0343973596652811,0.040547954296338
9,"4 to 5","kids","Sort1","Same Individual",34,0.0209356900875855,0.0404251478096558
9,"4 to 5","kids","Sort2","Different Individuals",33,-0.00630036294735578,0.0366967674397198
9,"5 to 6","kids","Sort1","Same Individual",28,0.0466390567045035,0.0475582096711776
9,"5 to 6","kids","Sort2","Different Individuals",28,0.0675020456423129,0.0388585848595273
9,"6 to 7","kids","Sort1","Same Individual",23,0.0929893789175769,0.0463411936516469
9,"6 to 7","kids","Sort2","Different Individuals",23,0.137437305903079,0.0525991010552604
9,"adults","adults","Sort1","Same Individual",40,0.171480042370095,0.0387074534053968
9,"adults","adults","Sort2","Different Individuals",40,0.214021330292032,0.0328950406974663
10,"3 to 4","kids","Sort1","Same Individual",21,0.0297765723720281,0.0433547067728067
10,"3 to 4","kids","Sort2","Different Individuals",21,0.00261938801689696,0.0477699041586272
10,"4 to 5","kids","Sort1","Same Individual",34,0.0196005337417488,0.0411519597749234
10,"4 to 5","kids","Sort2","Different Individuals",33,0.0220350535137044,0.0315957290521203
10,"5 to 6","kids","Sort1","Same Individual",28,0.0641604236673955,0.0470568575037325
10,"5 to 6","kids","Sort2","Different Individuals",28,0.0426221953535331,0.0365585994753415
10,"6 to 7","kids","Sort1","Same Individual",23,0.0601589376839971,0.052401489201063
10,"6 to 7","kids","Sort2","Different Individuals",23,0.118596340608709,0.0535827726363245
10,"adults","adults","Sort1","Same Individual",40,0.182601729956075,0.029845783107348
10,"adults","adults","Sort2","Different Individuals",40,0.216622556356595,0.0340912034590887
11,"3 to 4","kids","Sort1","Same Individual",21,-0.00301668244612427,0.0333112353567845
11,"3 to 4","kids","Sort2","Different Individuals",21,0.0165390738851845,0.036291113537575
11,"4 to 5","kids","Sort1","Same Individual",34,0.0199096708020374,0.0401830412114551
11,"4 to 5","kids","Sort2","Different Individuals",33,0.0105587071572873,0.0415851798916349
11,"5 to 6","kids","Sort1","Same Individual",28,0.0890217227539789,0.0455742188291322
11,"5 to 6","kids","Sort2","Different Individuals",28,0.060060153062729,0.0485800591392316
11,"6 to 7","kids","Sort1","Same Individual",23,0.0999113730761094,0.0596728714619481
11,"6 to 7","kids","Sort2","Different Individuals",23,0.138634855920093,0.0465432903706522
11,"adults","adults","Sort1","Same Individual",40,0.193722562085928,0.0318232807624939
11,"adults","adults","Sort2","Different Individuals",40,0.199871508396833,0.0315418560368474
12,"3 to 4","kids","Sort1","Same Individual",21,0.0310120158702036,0.0493403080308864
12,"3 to 4","kids","Sort2","Different Individuals",21,0.0148535107504928,0.030151414662974
12,"4 to 5","kids","Sort1","Same Individual",34,0.0230829080200611,0.0402968897544598
12,"4 to 5","kids","Sort2","Different Individuals",33,0.0225706950487755,0.0363526506406249
12,"5 to 6","kids","Sort1","Same Individual",28,0.0752503279437795,0.0390524205056138
12,"5 to 6","kids","Sort2","Different Individuals",28,0.0446924713162733,0.0360516298252258
12,"6 to 7","kids","Sort1","Same Individual",23,0.0720502213659558,0.0530221408791292
12,"6 to 7","kids","Sort2","Different Individuals",23,0.146585727461099,0.0553940982880978
12,"adults","adults","Sort1","Same Individual",40,0.188191991842954,0.0297254965500269
12,"adults","adults","Sort2","Different Individuals",40,0.212625726796901,0.0342942659577946
13,"3 to 4","kids","Sort1","Same Individual",21,0.0221874953593056,0.0419802996777037
13,"3 to 4","kids","Sort2","Different Individuals",21,0.0236243446141054,0.0418339118191969
13,"4 to 5","kids","Sort1","Same Individual",34,-0.0013788597207954,0.0413871458578606
13,"4 to 5","kids","Sort2","Different Individuals",33,0.00744152111249367,0.0309487705949574
13,"5 to 6","kids","Sort1","Same Individual",28,0.0841580140170687,0.0424412477252539
13,"5 to 6","kids","Sort2","Different Individuals",28,0.0228968701308302,0.0383553981044386
13,"6 to 7","kids","Sort1","Same Individual",23,0.0944554303888488,0.0491644992060631
13,"6 to 7","kids","Sort2","Different Individuals",23,0.132792415266084,0.0552673522695594
13,"adults","adults","Sort1","Same Individual",40,0.171352142394923,0.02857108995236
13,"adults","adults","Sort2","Different Individuals",40,0.221641137328511,0.0348195226735065
14,"3 to 4","kids","Sort1","Same Individual",21,-0.00501820937064113,0.0487991810695983
14,"3 to 4","kids","Sort2","Different Individuals",21,0.0129822029154299,0.0346741641483454
14,"4 to 5","kids","Sort1","Same Individual",34,-0.00198161615848388,0.0409528859430872
14,"4 to 5","kids","Sort2","Different Individuals",33,-0.000982213520425632,0.0347898017765734
14,"5 to 6","kids","Sort1","Same Individual",28,0.0488924688763142,0.035899375731923
14,"5 to 6","kids","Sort2","Different Individuals",28,0.0630045146041781,0.0420831215339477
14,"6 to 7","kids","Sort1","Same Individual",23,0.0986939531912221,0.0410764516685175
14,"6 to 7","kids","Sort2","Different Individuals",23,0.128605630648772,0.0400445881711801
14,"adults","adults","Sort1","Same Individual",40,0.184657410058202,0.0275798947554988
14,"adults","adults","Sort2","Different Individuals",40,0.210576965813184,0.0327091186475614
15,"3 to 4","kids","Sort1","Same Individual",21,0.0161817674897592,0.0442474201743071
15,"3 to 4","kids","Sort2","Different Individuals",21,-0.018126564335296,0.0385886950985689
15,"4 to 5","kids","Sort1","Same Individual",34,0.0140552960977506,0.043948362329417
15,"4 to 5","kids","Sort2","Different Individuals",33,0.034677819770812,0.0426053497317658
15,"5 to 6","kids","Sort1","Same Individual",28,0.0476768787747385,0.0462983047680471
15,"5 to 6","kids","Sort2","Different Individuals",28,0.0661987645574299,0.0462389390245414
15,"6 to 7","kids","Sort1","Same Individual",23,0.0772532708636136,0.0502761274417662
15,"6 to 7","kids","Sort2","Different Individuals",23,0.12173869100109,0.0422703612191155
15,"adults","adults","Sort1","Same Individual",40,0.180236333648606,0.0303157770512094
15,"adults","adults","Sort2","Different Individuals",40,0.22104145188605,0.0340885138156356
16,"3 to 4","kids","Sort1","Same Individual",21,0.0310080583071869,0.0464454879533089
16,"3 to 4","kids","Sort2","Different Individuals",21,-0.00105016498980335,0.0311490963218978
16,"4 to 5","kids","Sort1","Same Individual",34,0.00912542647503348,0.0414958567659599
16,"4 to 5","kids","Sort2","Different Individuals",33,-0.000785879063242568,0.0386110018158871
16,"5 to 6","kids","Sort1","Same Individual",28,0.0865899740024151,0.0504164504838279
16,"5 to 6","kids","Sort2","Different Individuals",28,0.0691928862006183,0.036102285633502
16,"6 to 7","kids","Sort1","Same Individual",23,0.109164578058657,0.0477958303761478
16,"6 to 7","kids","Sort2","Different Individuals",23,0.157163729412102,0.039276756234722
16,"adults","adults","Sort1","Same Individual",40,0.18059380382015,0.0237667037763024
