"items","item1","item2","emotion_pair_same","shared_category","category_pair","pos_1","neg_1","ESG_type_1","arousal_1","valence_1","val_type_1","sort","image_cat_1","mouth_1","actor_gender_1","pos_2","neg_2","ESG_type_2","arousal_2","valence_2","val_type_2","image_cat_2","mouth_2","actor_gender_2","dist_valence","dist_arousal","dist_pos","dist_neg"
"M07disg_o-M07neut_c","M07disg_o","M07neut_c",0,"between","between",0.549019607843137,2.70588235294118,"pol_neg",4.76470588235294,2.25490196078431,"pol_neg","Sort1","disg","o","M",0.941176470588235,1.45098039215686,"indifferent",2.86274509803922,3.84313725490196,"indifferent","neut","c","M",1.58823529411765,1.90196078431372,0.392156862745098,1.25490196078432
"M07hap_c-M07neut_c","M07hap_c","M07neut_c",0,"between","between",2.33333333333333,0.764705882352941,"pol_pos",4.68627450980392,5.82352941176471,"pol_pos","Sort1","hap","c","M",0.941176470588235,1.45098039215686,"indifferent",2.86274509803922,3.84313725490196,"indifferent","neut","c","M",1.98039215686275,1.8235294117647,1.39215686274509,0.686274509803919
"M07disg_c-M07neut_c","M07disg_c","M07neut_c",0,"between","between",0.176470588235294,3.15686274509804,"pol_neg",4.01960784313725,1.68627450980392,"pol_neg","Sort1","disg","c","M",0.941176470588235,1.45098039215686,"indifferent",2.86274509803922,3.84313725490196,"indifferent","neut","c","M",2.15686274509804,1.15686274509803,0.764705882352941,1.70588235294118
"M07neut_c-M07neut_o","M07neut_c","M07neut_o",1,"neut","within",0.941176470588235,1.45098039215686,"indifferent",2.86274509803922,3.84313725490196,"indifferent","Sort1","neut","c","M",0.784313725490196,1.62745098039216,"indifferent",3.07843137254902,3.37254901960784,"indifferent","neut","o","M",0.47058823529412,0.2156862745098,0.156862745098039,0.1764705882353
"M07neut_c-M07sad_c","M07neut_c","M07sad_c",0,"between","between",0.941176470588235,1.45098039215686,"indifferent",2.86274509803922,3.84313725490196,"indifferent","Sort1","neut","c","M",0.235294117647059,2.64705882352941,"pol_neg",3.76470588235294,1.88235294117647,"pol_neg","sad","c","M",1.96078431372549,0.90196078431372,0.705882352941176,1.19607843137255
"M07neut_c-M07surp_c","M07neut_c","M07surp_c",0,"between","between",0.941176470588235,1.45098039215686,"indifferent",2.86274509803922,3.84313725490196,"indifferent","Sort1","neut","c","M",1.3921568627451,0.980392156862745,"indifferent",4.33333333333333,4.41176470588235,"indifferent","surp","c","M",0.56862745098039,1.47058823529411,0.450980392156865,0.470588235294115
"M07hap_o-M07neut_c","M07hap_o","M07neut_c",0,"between","between",3.11764705882353,0.392156862745098,"pol_pos",5.45098039215686,6.49019607843137,"pol_pos","Sort1","hap","o","M",0.941176470588235,1.45098039215686,"indifferent",2.86274509803922,3.84313725490196,"indifferent","neut","c","M",2.64705882352941,2.58823529411764,2.17647058823529,1.05882352941176
"M07ang_c-M07neut_c","M07ang_c","M07neut_c",0,"between","between",0.352941176470588,2.94117647058824,"pol_neg",4.23529411764706,2.13725490196078,"pol_neg","Sort1","ang","c","M",0.941176470588235,1.45098039215686,"indifferent",2.86274509803922,3.84313725490196,"indifferent","neut","c","M",1.70588235294118,1.37254901960784,0.588235294117647,1.49019607843138
"M07fear_c-M07neut_c","M07fear_c","M07neut_c",0,"between","between",0.588235294117647,1.66666666666667,"indifferent",4.07843137254902,3.2156862745098,"indifferent","Sort1","fear","c","M",0.941176470588235,1.45098039215686,"indifferent",2.86274509803922,3.84313725490196,"indifferent","neut","c","M",0.62745098039216,1.2156862745098,0.352941176470588,0.21568627450981
"M07exc_o-M07neut_c","M07exc_o","M07neut_c",0,"between","between",1.3921568627451,1.05882352941176,"indifferent",4.74509803921569,4.31372549019608,"indifferent","Sort1","exc","o","M",0.941176470588235,1.45098039215686,"indifferent",2.86274509803922,3.84313725490196,"indifferent","neut","c","M",0.47058823529412,1.88235294117647,0.450980392156865,0.3921568627451
