"participant","seed","sort","image","final_img_pos","posX","posY","subject","subjCode","Age","Gender","age_bin","age_group","image_cat","image_tax_cat","mouth","actor_gender"
"126",26,"Sort2","M08fear_o","[ 358.  -74.]",358,-74,"p126",126,4.916666667,"F","4 to 5","kids","fear","fear","o","M"
"126",26,"Sort2","M04disg_c","[-500.  373.]",-500,373,"p126",126,4.916666667,"F","4 to 5","kids","disg","disg","c","M"
"126",26,"Sort2","F17calm_o","[-357.  373.]",-357,373,"p126",126,4.916666667,"F","4 to 5","kids","calm","calm","o","F"
"126",26,"Sort2","M02ang_c","[-214.  373.]",-214,373,"p126",126,4.916666667,"F","4 to 5","kids","ang","ang","c","M"
"126",26,"Sort2","M03calm_c","[ 358.  373.]",358,373,"p126",126,4.916666667,"F","4 to 5","kids","calm","calm","c","M"
"126",26,"Sort2","F13exc_o","[ -71.  373.]",-71,373,"p126",126,4.916666667,"F","4 to 5","kids","exc","exc","o","F"
"126",26,"Sort2","F04ang_o","[  72.  373.]",72,373,"p126",126,4.916666667,"F","4 to 5","kids","ang","ang","o","F"
"126",26,"Sort2","M14neut_o","[ 215.  373.]",215,373,"p126",126,4.916666667,"F","4 to 5","kids","neut","neut","o","M"
"126",26,"Sort2","F15hap_c","[ 501.  373.]",501,373,"p126",126,4.916666667,"F","4 to 5","kids","hap","hap","c","F"
"126",26,"Sort2","M15surp_o","[-500.  224.]",-500,224,"p126",126,4.916666667,"F","4 to 5","kids","surp","surp","o","M"
"126",26,"Sort2","M17sad_o","[-357.  224.]",-357,224,"p126",126,4.916666667,"F","4 to 5","kids","sad","sad","o","M"
"143",1,"Practice","table","[ 644. -372.]",644,-372,"p143",143,6.833333333,"F","6 to 7","kids","table","furniture","table","table"
"143",1,"Practice","car","[ 644.  373.]",644,373,"p143",143,6.833333333,"F","6 to 7","kids","car","vehicle","car","car"
"143",1,"Practice","bird","[-357.  224.]",-357,224,"p143",143,6.833333333,"F","6 to 7","kids","bird","animal","bird","bird"
"143",1,"Practice","squirrel","[ 501.  224.]",501,224,"p143",143,6.833333333,"F","6 to 7","kids","squirrel","animal","squirrel","squirrel"
"143",1,"Practice","bus","[ -71. -372.]",-71,-372,"p143",143,6.833333333,"F","6 to 7","kids","bus","vehicle","bus","bus"
"143",1,"Sort1","M07sad_c","[ 644.  373.]",644,373,"p143",143,6.833333333,"F","6 to 7","kids","sad","sad","c","M"
"143",1,"Sort1","M07hap_c","[ 644. -372.]",644,-372,"p143",143,6.833333333,"F","6 to 7","kids","hap","hap","c","M"
"143",1,"Sort1","M07fear_c","[ 644.   75.]",644,75,"p143",143,6.833333333,"F","6 to 7","kids","fear","fear","c","M"
"143",1,"Sort1","M07neut_c","[ 501.   75.]",501,75,"p143",143,6.833333333,"F","6 to 7","kids","neut","neut","c","M"
"143",1,"Sort1","M07fear_o","[ -71.  373.]",-71,373,"p143",143,6.833333333,"F","6 to 7","kids","fear","fear","o","M"
"143",1,"Sort1","M07hap_o","[-71. -74.]",-71,-74,"p143",143,6.833333333,"F","6 to 7","kids","hap","hap","o","M"
"143",1,"Sort1","M07calm_c","[-500.  -74.]",-500,-74,"p143",143,6.833333333,"F","6 to 7","kids","calm","calm","c","M"
"143",1,"Sort1","M07sad_o","[-500.  224.]",-500,224,"p143",143,6.833333333,"F","6 to 7","kids","sad","sad","o","M"
"143",1,"Sort1","M07calm_o","[ 215.  224.]",215,224,"p143",143,6.833333333,"F","6 to 7","kids","calm","calm","o","M"
"143",1,"Sort1","M07ang_o","[ 215. -372.]",215,-372,"p143",143,6.833333333,"F","6 to 7","kids","ang","ang","o","M"
"143",1,"Sort1","M07disg_o","[-214. -372.]",-214,-372,"p143",143,6.833333333,"F","6 to 7","kids","disg","disg","o","M"
"143",1,"Sort1","M07neut_o","[ 358.  -74.]",358,-74,"p143",143,6.833333333,"F","6 to 7","kids","neut","neut","o","M"
"143",1,"Sort1","M07surp_c","[-500. -372.]",-500,-372,"p143",143,6.833333333,"F","6 to 7","kids","surp","surp","c","M"
"143",1,"Sort1","M07ang_c","[  72. -372.]",72,-372,"p143",143,6.833333333,"F","6 to 7","kids","ang","ang","c","M"
"143",1,"Sort1","M07surp_o","[-214.  -74.]",-214,-74,"p143",143,6.833333333,"F","6 to 7","kids","surp","surp","o","M"
"143",1,"Sort1","M07exc_c","[ 501. -372.]",501,-372,"p143",143,6.833333333,"F","6 to 7","kids","exc","exc","c","M"
