participant,seed,sort,image,final_img_pos,posX,posY
229,29,Sort1,M07ang_o,[-500.  224.],-500.0,224.0
229,29,Sort1,M07surp_o,[ 358.  224.],358.0,224.0
229,29,Sort1,M07disg_o,[-643.   75.],-643.0,75.0
229,29,Sort1,M07ang_c,[-214. -372.],-214.0,-372.0
229,29,Sort1,M07hap_c,[ 501.  224.],501.0,224.0
229,29,Sort1,M07calm_c,[ 501.   75.],501.0,75.0
229,29,Sort1,M07disg_c,[-500.   75.],-500.0,75.0
229,29,Sort1,M07fear_c,[ 358. -223.],358.0,-223.0
229,29,Sort1,M07sad_c,[-357. -223.],-357.0,-223.0
229,29,Sort1,M07neut_c,[ -71.  224.],-71.0,224.0
229,29,Sort1,M07fear_o,[ 215. -223.],215.0,-223.0
229,29,Sort1,M07exc_c,[ 358.   75.],358.0,75.0
229,29,Sort1,M07exc_o,[ 215.   75.],215.0,75.0
229,29,Sort1,M07neut_o,[-214.  224.],-214.0,224.0
229,29,Sort1,M07hap_o,[ 215.  224.],215.0,224.0
229,29,Sort1,M07sad_o,[ 501. -223.],501.0,-223.0
229,29,Sort1,M07surp_c,[ 358.  373.],358.0,373.0
229,29,Sort1,M07calm_o,[ 215.  373.],215.0,373.0
