participant,seed,sort,image,final_img_pos,posX,posY
220,20,Sort1,M07disg_c,[-71. -74.],-71.0,-74.0
220,20,Sort1,M07fear_c,[-357. -372.],-357.0,-372.0
220,20,Sort1,M07hap_o,[ 501.  224.],501.0,224.0
220,20,Sort1,M07neut_o,[ 501. -223.],501.0,-223.0
220,20,Sort1,M07hap_c,[ 358.  224.],358.0,224.0
220,20,Sort1,M07ang_o,[ 72. -74.],72.0,-74.0
220,20,Sort1,M07ang_c,[-71.  75.],-71.0,75.0
220,20,Sort1,M07exc_o,[-643.   75.],-643.0,75.0
220,20,Sort1,M07neut_c,[ 358. -223.],358.0,-223.0
220,20,Sort1,M07surp_c,[-500.   75.],-500.0,75.0
220,20,Sort1,M07calm_o,[ 501. -372.],501.0,-372.0
220,20,Sort1,M07fear_o,[-500. -372.],-500.0,-372.0
220,20,Sort1,M07disg_o,[-357.  373.],-357.0,373.0
220,20,Sort1,M07surp_o,[ 501.  373.],501.0,373.0
220,20,Sort1,M07sad_o,[-500. -223.],-500.0,-223.0
220,20,Sort1,M07exc_c,[ 358.  373.],358.0,373.0
220,20,Sort1,M07sad_c,[-357. -223.],-357.0,-223.0
220,20,Sort1,M07calm_c,[ 358. -372.],358.0,-372.0
