participant,seed,sort,image,final_img_pos,posX,posY
233,133,Sort1,M07disg_c,[-643.   75.],-643.0,75.0
233,133,Sort1,M07surp_o,[ 644. -372.],644.0,-372.0
233,133,Sort1,M07fear_o,[-214.   75.],-214.0,75.0
233,133,Sort1,M07ang_o,[-643.  -74.],-643.0,-74.0
233,133,Sort1,M07surp_c,[ 215.  -74.],215.0,-74.0
233,133,Sort1,M07neut_c,[-357.   75.],-357.0,75.0
233,133,Sort1,M07sad_o,[-500.  -74.],-500.0,-74.0
233,133,Sort1,M07calm_c,[ 358. -223.],358.0,-223.0
233,133,Sort1,M07ang_c,[-643. -223.],-643.0,-223.0
233,133,Sort1,M07calm_o,[ 358.  -74.],358.0,-74.0
233,133,Sort1,M07sad_c,[-500.   75.],-500.0,75.0
233,133,Sort1,M07exc_o,[-71.  75.],-71.0,75.0
233,133,Sort1,M07neut_o,[-71. -74.],-71.0,-74.0
233,133,Sort1,M07hap_o,[ 501. -372.],501.0,-372.0
233,133,Sort1,M07hap_c,[ 501. -223.],501.0,-223.0
233,133,Sort1,M07exc_c,[ 644. -223.],644.0,-223.0
233,133,Sort1,M07fear_c,[-357.  224.],-357.0,224.0
233,133,Sort1,M07disg_o,[-357.  -74.],-357.0,-74.0
