participant,seed,sort,image,final_img_pos,posX,posY
230,30,Sort1,M07exc_c,[-500.  224.],-500.0,224.0
230,30,Sort1,M07surp_c,[-214.  224.],-214.0,224.0
230,30,Sort1,M07sad_o,[ 215.  224.],215.0,224.0
230,30,Sort1,M07disg_o,[ 644.  -74.],644.0,-74.0
230,30,Sort1,M07hap_c,[-643.  224.],-643.0,224.0
230,30,Sort1,M07neut_c,[ -71.  224.],-71.0,224.0
230,30,Sort1,M07ang_c,[ 644. -223.],644.0,-223.0
230,30,Sort1,M07fear_o,[ 358.  224.],358.0,224.0
230,30,Sort1,M07sad_c,[-357. -223.],-357.0,-223.0
230,30,Sort1,M07exc_o,[ 501.  224.],501.0,224.0
230,30,Sort1,M07neut_o,[  72.  224.],72.0,224.0
230,30,Sort1,M07calm_c,[-357.  224.],-357.0,224.0
230,30,Sort1,M07surp_o,[-643.  373.],-643.0,373.0
230,30,Sort1,M07disg_c,[ 501.  -74.],501.0,-74.0
230,30,Sort1,M07fear_c,[-214.  373.],-214.0,373.0
230,30,Sort1,M07ang_o,[ 501. -223.],501.0,-223.0
230,30,Sort1,M07hap_o,[-643.   75.],-643.0,75.0
230,30,Sort1,M07calm_o,[-500.   75.],-500.0,75.0
