participant,seed,sort,image,final_img_pos,posX,posY
229,29,Sort2,F04ang_o,[-500.  373.],-500.0,373.0
229,29,Sort2,M15surp_o,[ 215. -372.],215.0,-372.0
229,29,Sort2,M12hap_o,[ 358.  224.],358.0,224.0
229,29,Sort2,F17calm_o,[ 358.   75.],358.0,75.0
229,29,Sort2,M05exc_c,[ 215.   75.],215.0,75.0
229,29,Sort2,F15hap_c,[ 215.  224.],215.0,224.0
229,29,Sort2,F07neut_c,[-214.  -74.],-214.0,-74.0
229,29,Sort2,M02ang_c,[-500.  224.],-500.0,224.0
229,29,Sort2,F22sad_c,[-357.  373.],-357.0,373.0
229,29,Sort2,F14surp_c,[  72. -372.],72.0,-372.0
229,29,Sort2,F13exc_o,[ 501.  224.],501.0,224.0
229,29,Sort2,F10disg_o,[-357.  224.],-357.0,224.0
229,29,Sort2,M03calm_c,[-357.  -74.],-357.0,-74.0
229,29,Sort2,F01fear_c,[ 358. -372.],358.0,-372.0
229,29,Sort2,M04disg_c,[-214.  373.],-214.0,373.0
229,29,Sort2,M17sad_o,[-214.  224.],-214.0,224.0
229,29,Sort2,M08fear_o,[  72. -223.],72.0,-223.0
229,29,Sort2,M14neut_o,[ 215. -223.],215.0,-223.0
