participant,seed,sort,image,final_img_pos,posX,posY
202,2,Sort2,M05exc_c,[ 501.  224.],501.0,224.0
202,2,Sort2,F01fear_c,[  72.  224.],72.0,224.0
202,2,Sort2,F13exc_o,[ 501.   75.],501.0,75.0
202,2,Sort2,M17sad_o,[-357.  -74.],-357.0,-74.0
202,2,Sort2,F10disg_o,[-643.  373.],-643.0,373.0
202,2,Sort2,F07neut_c,[-71. -74.],-71.0,-74.0
202,2,Sort2,M03calm_c,[ 72. -74.],72.0,-74.0
202,2,Sort2,M04disg_c,[-643.  224.],-643.0,224.0
202,2,Sort2,M08fear_o,[  72.  373.],72.0,373.0
202,2,Sort2,F17calm_o,[ 358. -372.],358.0,-372.0
202,2,Sort2,M15surp_o,[ 215.  373.],215.0,373.0
202,2,Sort2,M12hap_o,[ 358. -223.],358.0,-223.0
202,2,Sort2,M14neut_o,[ -71. -223.],-71.0,-223.0
202,2,Sort2,F22sad_c,[-357.   75.],-357.0,75.0
202,2,Sort2,F14surp_c,[ 215.  224.],215.0,224.0
202,2,Sort2,F04ang_o,[-500.  373.],-500.0,373.0
202,2,Sort2,F15hap_c,[ 501.  373.],501.0,373.0
202,2,Sort2,M02ang_c,[-500.  224.],-500.0,224.0
